filename,page_count,char_count,extraction_method
APR032025_01B2203,3,8934,text
APR042025_02B2203,5,13227,text
APR072025_01B2203,4,8932,text
APR082025_01B2203,4,11581,text
APR092025_01B2203,5,13958,text
APR092025_02B2203,4,14758,text
APR092025_03B2203,8,27096,text
APR092025_04B2203,6,19814,text
APR092025_05B2203,4,13163,text
APR092025_06B2203,11,35516,text
APR102025_01B2203,5,13697,text
APR102025_02B2203,11,31812,text
APR102025_03B2203,7,22205,text
APR102025_04B2203,7,17851,text
APR102025_05B2203,5,16351,text
APR102025_06B2203,11,36504,text
APR102025_07B2203,3,8750,text
APR112025_01B2203,2,4635,text
APR112025_02B2203,9,26275,text
APR142025_01B2203,6,17149,text
APR142025_02B2203,5,13367,text
APR152025_01B2203,11,32476,text
APR152025_02B2203,8,24591,text
APR162025_01B2203,6,18087,text
APR162025_02B2203,8,22823,text
APR172025_01B2203,4,10025,text
APR172025_02B2203,2,3733,text
APR172025_03B2203,3,8900,text
FEB032025_01B2203,7,21902,text
FEB032025_02B2203,9,26562,text
FEB032025_03B2203,8,24090,text
FEB032025_04B2203,10,35930,text
FEB052025_01B2203,3,10525,text
FEB052025_02B2203,2,5500,text
FEB052025_03B2203,6,19391,text
FEB072025_01B2203,4,11788,text
FEB132025_01B2203,7,19375,text
FEB132025_02B2203,5,12193,text
FEB132025_03B2203,5,15109,text
FEB132025_04B2203,6,17192,text
FEB132025_05B2203,8,25252,text
FEB182025_01B2203,4,12450,text
FEB182025_02B2203,6,16409,text
FEB182025_03B2203,2,5245,text
FEB242025_01B2203,5,14823,text
FEB252025_01B2203,5,15148,text
FEB252025_02B2203,3,8527,text
FEB262025_01B2203,7,20881,text
FEB262025_02B2203,6,19025,text
FEB282025_01B2203,5,13839,text
JAN172025_01B2203,6,17575,text
JAN212025_01B2203,2,2703,text
JAN232025_01B2203,6,17405,text
JAN232025_02B2203,3,7325,text
JAN242025_01B2203,4,13788,text
JAN272025_01B2203,3,8144,text
JAN272025_02B2203,5,15337,text
JAN282025_01B2203,8,24092,text
